Review,DOI,Data,Reference,Species,k,,Reference,DOI_original,Order,Species,,
Enríquez et al. 1993,10.1007/bf00566960,https://doi.org/10.1007/bf00566960,Albright et al. 1980,Macrocystis integrifoli,0.0295,,Albright et al. 1980,10.1515/9783110837988-015,Laminariales,Macrocystis pyrifera,,
Enríquez et al. 1993,10.1007/bf00566960,https://doi.org/10.1007/bf00566960,Albright et al. 1980,Maerocystis inteyrifolia,0.0321,,Albright et al. 1980,10.1515/9783110837988-015,Laminariales,Macrocystis pyrifera,,
Enríquez et al. 1993,10.1007/bf00566960,https://doi.org/10.1007/bf00566960,Birch et al. 1983,Cladophora aft. Albida,0.0076,,Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophorales,Cladophora aff. albida,,
Enríquez et al. 1993,10.1007/bf00566960,https://doi.org/10.1007/bf00566960,Gabrielson et al. 1983,Cladophora aft. Albid,0.0082,,Gabrielson et al. 1983,10.1515/botm.1983.26.4.173,Cladophorales,Cladophora aff. albida,,
Enríquez et al. 1993,10.1007/bf00566960,https://doi.org/10.1007/bf00566960,Gabrielson et al. 1983,Cladophora aft. Albida,0.0038,,Gabrielson et al. 1983,10.1515/botm.1983.26.4.173,Cladophorales,Cladophora aff. albida,,
Enríquez et al. 1993,10.1007/bf00566960,https://doi.org/10.1007/bf00566960,Gabrielson et al. 1983,Cladophora aft. Albid,0.0076,,Gabrielson et al. 1983,10.1515/botm.1983.26.4.173,Cladophorales,Cladophora aff. albida,,
Enríquez et al. 1993,10.1007/bf00566960,https://doi.org/10.1007/bf00566960,Gabrielson et al. 1983,Cladophora aft. Albida,0.0035,,Gabrielson et al. 1983,10.1515/botm.1983.26.4.173,Cladophorales,Cladophora aff. albida,,
Enríquez et al. 1993,10.1007/bf00566960,https://doi.org/10.1007/bf00566960,Twilley et al. 1986,Ulva sp.,0.023,,Twilley et al. 1986,10.2307/3566045,Ulvales,Ulva lactuca,,
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Albright et al. 1980,,0.0295,,Albright et al. 1980,10.1515/9783110837988-015,Laminariales,Macrocystis pyrifera,,
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Albright et al. 1980,,0.0321,,Albright et al. 1980,10.1515/9783110837988-015,Laminariales,Macrocystis pyrifera,,
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Birch et al. 1983,,0.0076,,Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophorales,Cladophora aff. albida,,
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Gabrielson et al. 1983,,0.0076,,Gabrielson et al. 1983,10.1515/botm.1983.26.4.173,Cladophorales,Cladophora aff. albida,,
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Gabrielson et al. 1983,,0.0038,,Gabrielson et al. 1983,10.1515/botm.1983.26.4.173,Cladophorales,Cladophora aff. albida,,
